lsoa_id,lsoa_name,lad_name,population,income_avg,poverty_index,base_demand_kw,ec_count_SA,asset_total_mw_SA,active_SA,ec_count_SB,asset_total_mw_SB,active_SB,ec_count_SC,asset_total_mw_SC,active_SC,ec_count_SD,asset_total_mw_SD,active_SD
E01016710,E01016710,Milton Keynes,2106,49548,0.1124,301816.98922698776,20.0,12.8,True,0.0,0.0,False,20.0,12.8,True,20.0,12.8,True
E01016711,E01016711,Milton Keynes,2976,56282,0.0579,451918.5090556928,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016713,E01016713,Milton Keynes,1824,56282,0.0789,350089.6425262622,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016714,E01016714,Milton Keynes,2483,49548,0.1224,433427.9350344335,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016715,E01016715,Milton Keynes,1740,56282,0.1091,258300.2531572356,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016716,E01016716,Milton Keynes,2731,49548,0.1161,388248.04072972055,20.0,12.8,True,20.0,12.8,True,0.0,0.0,False,20.0,12.8,True
E01016717,E01016717,Milton Keynes,1676,50021,0.0828999999999999,230618.08792948577,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016718,E01016718,Milton Keynes,2039,57046,0.1066,246372.59002420335,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016719,E01016719,Milton Keynes,1420,60538,0.0644,234418.43465703528,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016720,E01016720,Milton Keynes,1583,50021,0.0816,199229.40815118392,20.0,12.8,True,0.0,0.0,False,0.0,0.0,False,20.0,12.8,True
E01016721,E01016721,Milton Keynes,1911,50459,0.0913,257789.4062866482,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016722,E01016722,Milton Keynes,1539,60538,0.0501,233775.7361323204,0.0,0.0,False,1.0,0.64,True,20.0,12.8,True,0.0,0.0,False
E01016723,E01016723,Milton Keynes,1566,50021,0.0444,234037.21635164792,0.0,0.0,False,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016724,E01016724,Milton Keynes,1827,50021,0.0625,259730.85877124043,20.0,12.8,True,20.0,12.8,True,7.0,4.48,True,20.0,12.8,True
