lsoa_id,lsoa_name,population_effective,fuel_poverty_rate_effective,deprivation_score,income_effective,base_demand_kw,asset_total_mw,ec_count,active,fuel_poor_households_proxy
E01016710,E01016710,2106,0.1124,24.61,49548,301816.98922698776,12.8,20.0,True,236.7144
E01016711,E01016711,2976,0.0579,10.548,56282,451918.5090556928,12.8,20.0,True,172.3104
E01016713,E01016713,1824,0.0789,10.087,56282,350089.6425262622,12.8,20.0,True,143.9136
E01016714,E01016714,2483,0.1224,28.858,49548,433427.9350344335,12.8,20.0,True,303.9192
E01016715,E01016715,1740,0.1091,24.24,56282,258300.2531572356,12.8,20.0,True,189.834
E01016716,E01016716,2731,0.1161,24.271,49548,388248.04072972055,12.8,20.0,True,317.0691
E01016717,E01016717,1676,0.0828999999999999,22.771,50021,230618.08792948577,0.0,0.0,False,138.94039999999984
E01016718,E01016718,2039,0.1066,35.244,57046,246372.59002420335,12.8,20.0,True,217.3574
E01016719,E01016719,1420,0.0644,16.626,60538,234418.43465703528,0.0,0.0,False,91.448
E01016720,E01016720,1583,0.0816,30.695,50021,199229.40815118392,12.8,20.0,True,129.1728
E01016721,E01016721,1911,0.0913,21.253,50459,257789.4062866482,12.8,20.0,True,174.4743
E01016722,E01016722,1539,0.0501,10.934,60538,233775.7361323204,0.0,0.0,False,77.1039
E01016723,E01016723,1566,0.0444,9.778,50021,234037.21635164792,12.8,20.0,True,69.5304
E01016724,E01016724,1827,0.0625,22.347,50021,259730.85877124043,12.8,20.0,True,114.1875
E01016725,E01016725,1685,0.0677,26.735,45395,269569.16680390283,0.0,0.0,False,114.0745
E01016726,E01016726,1892,0.1017,32.787,42459,240153.71772151117,12.8,20.0,True,192.4164
E01016727,E01016727,1884,0.0652,23.639,45395,221405.6892064025,12.8,20.0,True,122.83679999999998
E01016728,E01016728,2104,0.0694,14.133,45395,324560.5480369041,12.8,20.0,True,146.01760000000002
E01016729,E01016729,2455,0.096,27.932,57046,301272.52747024474,12.8,20.0,True,235.68
E01016731,E01016731,1558,0.074,18.523,66405,207714.1538419791,12.8,20.0,True,115.29199999999999
E01016732,E01016732,1380,0.0617999999999999,15.704,66405,215602.3530884298,0.0,0.0,False,85.28399999999986
E01016733,E01016733,1828,0.1118,24.301,42459,232393.4108909098,0.0,0.0,False,204.3704
E01016734,E01016734,2338,0.0817,15.561,69575,455754.0990599342,12.8,20.0,True,191.0146
E01016736,E01016736,1463,0.096,5.867,69575,252377.57934663264,0.0,0.0,False,140.448
E01016737,E01016737,1701,0.0658,15.269,50143,242153.72533310877,12.8,20.0,True,111.9258
E01016738,E01016738,1998,0.0935,29.175,50143,251870.92447101837,12.8,20.0,True,186.813
E01016739,E01016739,1537,0.0794,11.803,50143,204528.1402362951,0.0,0.0,False,122.0378
E01016740,E01016740,1511,0.0848,13.732,50143,225711.987105447,0.0,0.0,False,128.1328
E01016741,E01016741,1518,0.1061,31.975,50143,193900.6350980612,0.0,0.0,False,161.0598
E01016742,E01016742,1867,0.1496,63.521,55692,195371.56707026475,12.8,20.0,True,279.3032
E01016744,E01016744,1751,0.1309,44.516,55692,204213.31794233597,12.8,20.0,True,229.20589999999999
E01016745,E01016745,1656,0.0947,16.506,49548,228502.23148252125,12.8,20.0,True,156.8232
E01016746,E01016746,1810,0.1231,30.166,55692,283702.45969758206,12.8,20.0,True,222.811
E01016748,E01016748,2081,0.0476999999999999,10.032,74870,342096.91659617727,12.8,20.0,True,99.2636999999998
E01016750,E01016750,1576,0.0436,6.138,74870,246068.84137660003,0.0,0.0,False,68.7136
E01016751,E01016751,1585,0.049,9.798,74870,234708.668196846,0.0,0.0,False,77.665
E01016752,E01016752,1672,0.047,12.225,82345,231347.74693589803,0.0,0.0,False,78.584
E01016753,E01016753,2249,0.0495,15.104,82345,351229.64159265696,0.0,0.0,False,111.3255
E01016754,E01016754,1676,0.0581,14.471,58540,272058.0242090226,12.8,20.0,True,97.37559999999999
E01016755,E01016755,1838,0.0549,11.097,82345,309097.45878496376,0.0,0.0,False,100.9062
E01016756,E01016756,2167,0.0544,20.406,58540,377975.99299161613,12.8,20.0,True,117.8848
E01016757,E01016757,1510,0.0487,12.156,58540,201796.04316191343,0.0,0.0,False,73.537
E01016758,E01016758,1636,0.0426,8.616,58540,261462.02773473563,0.0,0.0,False,69.6936
E01016759,E01016759,1871,0.0929,10.979,65600,380662.1651838961,0.0,0.0,False,173.8159
E01016761,E01016761,1774,0.1123,4.366,65600,337602.5059834818,12.8,20.0,True,199.2202
E01016762,E01016762,1349,0.0779,22.024,57173,206840.07579971087,0.0,0.0,False,105.08709999999999
E01016763,E01016763,1290,0.048,12.757,53891,213897.4218797566,12.8,20.0,True,61.92
E01016764,E01016764,1413,0.0493,12.249,57173,218991.357417596,12.8,20.0,True,69.6609
E01016765,E01016765,1593,0.0742,24.466,50459,261316.3128409061,0.0,0.0,False,118.20060000000001
E01016766,E01016766,1370,0.063,18.702,57173,171913.51763230775,0.64,1.0,True,86.31
E01016767,E01016767,1275,0.0353,4.526,57173,213073.25084462416,0.0,0.0,False,45.0075
E01016768,E01016768,2799,0.055,18.387,57046,572020.2829272402,0.0,0.0,False,153.945
E01016769,E01016769,1308,0.0407,8.966,53891,247439.92920440657,0.0,0.0,False,53.2356
E01016770,E01016770,1501,0.0444,12.253,53891,226186.09119632203,0.0,0.0,False,66.6444
E01016771,E01016771,1419,0.0765,18.964,57173,171632.6042480725,0.0,0.0,False,108.5535
E01016772,E01016772,1420,0.069,23.052,50459,175914.7139643686,0.0,0.0,False,97.98
E01016773,E01016773,1934,0.0365,9.241,53891,269798.09400217084,0.0,0.0,False,70.591
E01016774,E01016774,1781,0.048,7.274,70064,343287.7816484519,0.0,0.0,False,85.488
E01016775,E01016775,1739,0.0644,11.582,70064,297268.3252881952,0.0,0.0,False,111.99159999999999
E01016776,E01016776,1483,0.0368,5.189,63704,196456.65689110957,0.0,0.0,False,54.5744
E01016777,E01016777,1625,0.0504,13.368,70064,204936.32184731885,0.0,0.0,False,81.9
E01016778,E01016778,1629,0.0557,11.568,70064,253593.64004042215,0.0,0.0,False,90.7353
E01016780,E01016780,1852,0.049,8.624,77951,269438.2430072113,0.0,0.0,False,90.748
E01016781,E01016781,1345,0.0324,4.945,77951,307964.4362227711,0.0,0.0,False,43.577999999999996
E01016783,E01016783,1979,0.0516999999999999,10.428,66412,235925.1128702249,0.0,0.0,False,102.3142999999998
E01016784,E01016784,1817,0.0833,26.221,66405,327926.07227462076,0.0,0.0,False,151.3561
E01016786,E01016786,1519,0.089,9.222,58655,234497.38857137505,0.0,0.0,False,135.191
E01016787,E01016787,1752,0.091,20.128,58655,247752.39086383712,0.0,0.0,False,159.432
E01016788,E01016788,1571,0.0538,7.999,58655,244936.3828960502,0.0,0.0,False,84.5198
E01016789,E01016789,1236,0.0512,12.262,58655,204244.80083277175,0.0,0.0,False,63.2832
E01016790,E01016790,1443,0.0657,7.921,58655,242153.0227268758,0.0,0.0,False,94.8051
E01016791,E01016791,1420,0.0473,7.386,64725,252549.4690951169,0.0,0.0,False,67.166
