year,equity_fuel_poverty_reduction_pct_proxy,flex_peak_reduction_mw_proxy,edr_demand_reduction_pct_proxy,composite_score_0_100
2025,3.2550241798507114,2.3040000000000003,0.0002185409468994,19.492756487652173
2026,7.486555613656637,5.299200000000001,0.0005026441778686,20.78174173382896
2027,13.345599137387918,9.4464,0.0008960178822876,22.189830228909862
2028,20.832154751044555,14.7456,0.0013986620601563,23.634890446832426
2029,28.96971520067133,20.5056,0.0019450144274049,25.638416459745557
2030,39.38579257619361,27.878400000000003,0.002644345457483,29.885006389226493
2031,52.29738848960144,37.0176,0.0035112245468508,35.6760720756504
2032,65.96849004497443,46.6944,0.0044290965238284,41.08330346477834
2033,81.8096077202479,57.9072,0.0054926624654056,47.62730561152552
2034,99.16973667945167,70.1952,0.0066582141822026,55.86468375747204
2035,100.0,83.63520000000001,0.0079330363724492,57.72088168503014
2036,100.0,98.5344,0.0093462678290655,58.46385821703725
2037,100.0,114.04800000000002,0.0108177768715217,41.949311615118475
2038,100.0,136.55040000000002,0.0129521934529061,44.15029891679709
2039,100.0,161.81760000000003,0.0153488591705698,49.075242738743405
2040,100.0,184.704,0.0175196992431042,53.30775900578731
2041,100.0,205.44000000000003,0.019486567765199,57.748436774314506
2042,100.0,224.02560000000005,0.0212494647368544,62.411239845608534
2043,100.0,240.23040000000003,0.0227865360633804,66.56843622108806
2044,100.0,251.59680000000003,0.0238646714014176,69.16442740488456
2045,100.0,254.97600000000003,0.0241851981235368,69.7404408313138
2046,100.0,254.97600000000003,0.0241851981235368,69.7404408313138
2047,100.0,254.97600000000003,0.0241851981235368,69.7404408313138
2048,100.0,254.97600000000003,0.0241851981235368,69.7404408313138
2049,100.0,254.97600000000003,0.0241851981235368,69.7404408313138
2050,100.0,254.97600000000003,0.0241851981235368,69.7404408313138
